time_s,controller,x,y,vx,vy,yaw,ref_x,ref_y,goal_x,goal_y,ux,uy,alpha,feasible,solve_ms,clearance_m,d_lower_min,c_body,barrier,gamma_ref,recovery_energy,recoverable_margin,h_R,dynamic_reserve,recoverability_delta,pred_min_d_lower,pred_min_c_body,pred_min_gamma,pred_max_recovery_energy,pred_max_dynamic_reserve,pred_min_delta,pred_min_h_R,pred_min_psi0,pred_min_psi1,pred_min_psi2,pred_min_psi0_constraint,pred_min_psi1_constraint,pred_min_psi2_constraint,solver_constraint_margin,max_safety_slack,speed_mps,obstacle_count,guide_points
1780645119.299204,dhocbf_fixed,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000001,7.999991,-0.171058,1,4.705927,1.223737,1.195793,1.079056,1.079056,1.910707,0.016640,1.079056,1.079056,0.012000,1.882067,1.183330,1.080509,inf,nan,0.000000,1.080509,1.080509,1.080509,0.362724,0.161691,1.079311,0.362196,0.161066,-0.000000,0.000001,0.000000,10,2
1780645119.412911,dhocbf_fixed,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000001,7.999992,-0.212728,1,6.872037,1.221710,1.193679,1.077575,1.077575,1.916234,0.016640,1.077575,1.077575,0.012000,1.887594,1.181294,1.079515,inf,nan,0.000000,1.079515,1.079515,1.079515,0.362434,0.161649,1.078696,0.362053,0.161135,-0.000000,0.000001,0.000000,10,2
1780645119.506961,dhocbf_fixed,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000001,7.999992,-0.221782,1,4.852755,1.223228,1.195242,1.078748,1.078748,1.910506,0.016640,1.078748,1.078748,0.012000,1.881866,1.182817,1.080393,inf,nan,0.000000,1.080393,1.080393,1.080393,0.362695,0.161698,1.079121,0.362143,0.161062,-0.000000,0.000001,0.000000,10,2
1780645119.617576,dhocbf_fixed,-0.000000,-49.960000,-0.000000,0.799999,1.570799,0.000000,-48.360000,0.000000,45.000000,-4.653187,6.507523,-0.222604,1,13.870275,1.585458,1.604648,1.499846,1.499846,0.949924,0.017408,0.890916,0.890916,0.041600,0.890916,1.088363,0.983426,inf,nan,0.000000,0.983426,0.983426,0.983426,0.180138,-0.017034,0.990778,0.183386,0.000000,-0.000000,0.013919,0.799999,10,2
1780645119.730963,dhocbf_fixed,-0.023266,-49.847463,-0.465319,1.450751,1.318972,0.000000,-48.247463,0.000000,45.000000,1.869163,7.778575,-0.193962,1,6.711341,1.862600,1.928996,1.818570,1.818570,1.294419,0.019429,1.203862,1.203862,0.071127,1.203862,1.345629,1.244666,inf,nan,0.000000,1.244666,1.244666,1.244666,0.324555,0.032277,1.262778,0.329805,0.033175,-0.000000,0.000000,1.523549,10,0
1780645119.977265,dhocbf_fixed,-0.060452,-49.663494,-0.278403,2.228609,1.524327,-0.059430,-48.063495,0.000000,45.000000,5.935993,-5.363206,-0.207937,1,24.539890,1.812624,1.826265,1.721564,1.721564,0.895225,0.022693,0.769313,0.769313,0.103218,0.769313,0.873343,0.768686,inf,nan,0.000000,0.768686,0.768686,0.768686,0.129203,-0.022063,0.780075,0.130697,0.000000,-0.000000,0.008382,2.245931,10,2
1780645119.998103,dhocbf_fixed,-0.060452,-49.663494,-0.278403,2.228609,1.524327,-0.059430,-48.063495,0.000000,45.000000,5.843964,-5.463340,-0.210081,1,9.746855,1.812624,1.826265,1.721564,1.721564,0.895225,0.022693,0.769313,0.769313,0.103218,0.769313,0.874606,0.769936,inf,nan,0.000000,0.769936,0.769936,0.769936,0.129490,-0.021797,0.781356,0.130992,0.000000,-0.000000,0.008158,2.245931,10,2
1780645120.017952,dhocbf_fixed,-0.058612,-49.467450,0.315197,1.692288,1.315135,-0.059305,-47.867449,0.000000,45.000000,1.132873,1.973388,-0.186492,1,8.439750,1.950905,1.979028,1.853037,1.853037,0.815283,0.020196,0.715430,0.715430,0.079657,0.715430,0.725644,0.610147,inf,nan,0.000000,0.610147,0.610147,0.610147,0.097389,-0.001893,0.618169,0.099326,0.000000,-0.000000,0.005693,1.721392,10,2
1780645120.092114,dhocbf_fixed,-0.021428,-49.288354,0.428484,1.889627,1.475394,-0.059191,-47.688329,0.000000,45.000000,-2.153065,6.012177,-0.196850,1,3.818520,1.940412,1.901749,1.789294,1.789294,2.204113,0.021155,1.789293,1.789293,0.089202,2.093757,1.902331,1.793318,inf,nan,0.000000,1.793318,1.793318,1.793318,0.747942,0.209445,1.782043,0.735819,0.215649,-0.000000,0.000000,1.937599,10,2
1780645120.201725,dhocbf_fixed,0.010655,-49.069330,0.213178,2.490845,1.405058,-0.059051,-47.469285,0.000000,45.000000,-3.341981,4.079474,-0.190534,1,6.478207,2.096728,2.179660,2.065768,2.065768,0.964342,0.024172,0.825047,0.825047,0.115123,0.825047,0.920100,0.817423,inf,nan,0.000000,0.817423,0.817423,0.817423,0.154943,-0.030544,0.826714,0.155924,0.000000,-0.000000,0.005704,2.499951,10,2
