time_s,controller,x,y,vx,vy,yaw,ref_x,ref_y,goal_x,goal_y,ux,uy,alpha,feasible,solve_ms,clearance_m,d_lower_min,c_body,barrier,gamma_ref,recovery_energy,recoverable_margin,h_R,dynamic_reserve,recoverability_delta,pred_min_d_lower,pred_min_c_body,pred_min_gamma,pred_max_recovery_energy,pred_max_dynamic_reserve,pred_min_delta,pred_min_h_R,pred_min_psi0,pred_min_psi1,pred_min_psi2,pred_min_psi0_constraint,pred_min_psi1_constraint,pred_min_psi2_constraint,solver_constraint_margin,max_safety_slack,speed_mps,obstacle_count,guide_points
1780645170.411245,proposed,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000000,7.999991,-0.171059,1,14.910781,1.224457,1.194907,1.078548,1.078548,1.916564,0.016640,1.078548,1.078548,0.012000,1.887924,1.194907,1.078548,1.904617,0.016640,0.117688,1.778431,1.078548,1.078548,0.520487,0.456993,1.056140,0.509431,0.449857,-0.000000,0.000001,0.000000,10,2
1780645170.511117,proposed,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000001,7.999992,-0.212729,1,13.941663,1.224987,1.195439,1.079015,1.079015,1.916746,0.016640,1.079015,1.079015,0.012000,1.888106,1.195439,1.079015,1.905089,0.016640,0.117688,1.778728,1.079015,1.079015,0.520763,0.457215,1.056417,0.509588,0.449982,-0.000000,0.000001,0.000000,10,2
1780645170.597270,proposed,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000000,7.999992,-0.221785,1,13.887948,1.224127,1.194528,1.078139,1.078139,1.911079,0.016640,1.078139,1.078139,0.012000,1.882439,1.194528,1.078139,1.900423,0.016640,0.117688,1.773474,1.078139,1.078139,0.520456,0.457055,1.055770,0.509326,0.449804,-0.000000,0.000001,0.000000,10,2
1780645170.701207,proposed,-0.000000,-49.960000,-0.000000,0.799999,1.570799,0.000000,-48.360000,0.000000,45.000000,-0.000000,7.999980,-0.222627,1,12.212459,1.263022,1.233131,1.117127,1.117127,1.930737,0.017408,1.117127,1.117127,0.041600,1.871729,1.233131,1.117127,1.920713,0.017408,0.115913,1.796094,1.117127,1.117127,0.614834,0.553429,1.094574,0.603527,0.545866,-0.000000,0.000000,0.799999,10,2
1780645170.851055,proposed,-0.000000,-49.840000,-0.000000,1.599997,1.570798,0.000000,-48.240000,0.000000,45.000000,-0.000001,7.751392,-0.221376,1,25.096349,1.720431,1.680911,1.576258,1.576258,0.894786,0.019712,0.800674,0.800674,0.074400,0.800674,0.696496,0.585158,0.875488,0.019712,0.121923,0.751396,0.585148,0.585148,0.199121,0.117754,0.562557,0.194874,0.125540,-0.000000,0.000000,1.599997,10,0
1780645170.973825,proposed,-0.000000,-49.840000,-0.000000,1.599997,1.570798,-0.000000,-48.240000,0.000000,45.000000,-0.000003,7.732496,-0.219642,1,15.229591,2.288462,2.255403,2.141995,2.141995,0.908295,0.019712,0.814184,0.814184,0.074400,0.814184,0.711295,0.600391,0.890875,0.019712,0.121870,0.765247,0.600381,0.600381,0.205452,0.123574,0.584288,0.197401,0.123538,-0.000000,0.000000,1.599997,10,2
1780645171.012688,proposed,-0.000000,-49.641244,-0.000000,2.375136,1.570798,-0.000000,-48.041244,0.000000,45.000000,-0.000002,4.290504,-0.217799,1,15.930025,2.015059,2.063073,1.949245,1.949245,0.822598,0.023410,0.689956,0.689956,0.109233,0.689956,0.538685,0.431849,0.804012,0.023410,0.129805,0.669446,0.431849,0.431849,0.143432,0.091004,0.415696,0.135343,0.090934,-0.000000,0.000000,2.375136,10,2
1780645171.081975,proposed,-0.000000,-49.382277,-0.000000,2.804187,1.570797,-0.000000,-47.782277,0.000000,45.000000,-0.000011,2.126757,-0.215875,1,11.654241,1.658920,1.628347,1.513476,1.513476,0.655150,0.026076,0.499269,0.499269,0.129805,0.499269,0.278496,0.171301,0.630255,0.026076,0.140344,0.489898,0.171301,0.171301,0.055554,0.028550,0.155288,0.047544,0.028549,-0.000000,0.000000,2.804187,10,2
1780645171.198117,proposed,-0.000000,-49.091225,-0.000001,3.016862,1.570796,-0.000000,-47.491225,0.000000,45.000000,0.000007,1.019746,-0.214129,1,12.647856,2.118830,2.086801,1.972165,1.972165,1.734810,0.027562,1.566904,1.566904,0.140344,1.566904,2.086801,1.972165,1.734672,0.027562,0.145477,1.566651,1.566651,1.566651,0.704854,0.510400,1.550507,0.697509,0.505978,-0.000000,0.000000,3.016862,10,2
1780645171.312086,proposed,-0.000000,-48.784440,-0.000001,3.118837,1.570796,-0.000000,-47.184440,0.000000,45.000000,0.000006,0.483718,-0.212320,1,18.306303,2.244643,2.206786,2.085596,2.085596,1.811706,0.028313,1.637916,1.637916,0.145477,1.637916,2.206786,2.085596,1.811688,0.028313,0.147930,1.637916,1.637916,1.637916,0.740121,0.535331,1.637768,0.739056,0.535285,-0.000000,0.000000,3.118837,10,2
