time_s,controller,x,y,vx,vy,yaw,ref_x,ref_y,goal_x,goal_y,ux,uy,alpha,feasible,solve_ms,clearance_m,d_lower_min,c_body,barrier,gamma_ref,recovery_energy,recoverable_margin,h_R,dynamic_reserve,recoverability_delta,pred_min_d_lower,pred_min_c_body,pred_min_gamma,pred_max_recovery_energy,pred_max_dynamic_reserve,pred_min_delta,pred_min_h_R,pred_min_psi0,pred_min_psi1,pred_min_psi2,pred_min_psi0_constraint,pred_min_psi1_constraint,pred_min_psi2_constraint,solver_constraint_margin,max_safety_slack,speed_mps,obstacle_count,guide_points
1780630751.971672,nmpc_dc,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000000,7.999991,-0.171058,1,15.859302,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000001,0.000000,0,2
1780630752.077746,nmpc_dc,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000000,7.999992,-0.212728,1,14.562020,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000001,0.000000,0,2
1780630752.170923,nmpc_dc,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000000,7.999992,-0.221782,1,14.732246,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000001,0.000000,0,2
1780630752.275120,nmpc_dc,-0.000000,-49.960000,-0.000000,0.799999,1.570799,0.000000,-48.360000,0.000000,45.000000,-0.000000,7.999980,-0.222623,1,14.022632,inf,inf,inf,inf,inf,0.017408,inf,inf,0.041600,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,0.799999,0,2
1780630752.361878,nmpc_dc,-0.000000,-49.840000,-0.000000,1.599997,1.570798,0.000000,-48.240000,0.000000,45.000000,0.000000,7.751393,-0.221388,1,5.344420,inf,inf,inf,inf,inf,0.019712,inf,inf,0.074400,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,1.599997,0,2
1780630752.676981,nmpc_dc,-0.000000,-49.641244,-0.000000,2.375137,1.570798,-0.256676,-48.061966,0.000000,45.000000,-2.286239,4.107337,-0.219679,1,4.901439,1.215066,1.259047,1.145093,1.145093,1.253178,0.023410,1.110449,1.110449,0.109233,1.120536,1.175581,1.069512,inf,nan,0.000000,1.069512,1.069512,1.069512,0.349542,0.050652,1.069512,0.349542,0.050652,-0.000000,0.000000,2.375137,10,4
1780630752.696822,nmpc_dc,-0.011431,-49.383193,-0.228624,2.785870,1.577184,-0.297831,-47.808747,0.000000,45.000000,-1.708309,1.966669,-0.218521,1,4.755692,1.273831,1.295424,1.171030,1.171030,1.301365,0.026022,1.136037,1.136037,0.129367,1.145976,1.240261,1.122271,inf,nan,0.000000,1.122271,1.122271,1.122271,0.350295,0.077616,1.122271,0.350295,0.077616,-0.000000,0.000000,2.795236,10,4
1780630752.716595,nmpc_dc,-0.011431,-49.383193,-0.228624,2.785870,1.577184,-0.297831,-47.808747,0.000000,45.000000,-1.664788,1.805449,-0.216849,1,4.649959,1.273831,1.295424,1.171030,1.171030,1.301365,0.026022,1.136037,1.136037,0.129367,1.145976,1.240261,1.122271,inf,nan,0.000000,1.122271,1.122271,1.122271,0.350143,0.077466,1.122271,0.350144,0.077467,-0.000000,0.000000,2.795236,10,4
1780630752.763513,nmpc_dc,-0.042618,-49.095579,-0.395103,2.966415,1.643175,-0.344176,-47.523596,0.000000,45.000000,-1.057535,0.969932,-0.222228,1,3.001451,1.283242,1.331382,1.206039,1.206039,1.370172,0.027400,1.185011,1.185011,0.139131,1.203641,1.243242,1.135733,inf,nan,0.000000,1.135733,1.135733,1.135733,0.358463,0.083270,1.135733,0.358464,0.083271,-0.000000,0.000000,2.992612,10,4
1780630752.894439,nmpc_dc,-0.087415,-48.794088,-0.500856,3.063408,1.697168,-0.393069,-47.222770,0.000000,45.000000,-0.578831,0.470529,-0.228029,1,6.702987,1.301170,1.345328,1.222741,1.222741,0.747786,0.028218,0.574837,0.574837,0.144731,0.574837,0.465380,0.361955,inf,nan,0.000000,0.361955,0.361955,0.361955,0.056030,-0.176918,0.361956,0.056031,-0.176917,-0.000000,0.000000,3.104082,10,4
1780630752.967956,nmpc_dc,-0.140395,-48.485394,-0.558739,3.110461,1.730461,-0.443312,-46.913632,0.000000,45.000000,-0.261462,0.228013,-0.231644,1,2.853929,1.324333,1.364775,1.251674,1.251674,0.690699,0.028639,0.514483,0.514483,0.147577,0.514483,0.300006,0.191684,inf,nan,0.000000,0.191684,0.191684,0.191684,0.022981,-0.215578,0.191684,0.022982,-0.215578,-0.000000,0.000000,3.160247,10,4
1780630753.075343,nmpc_dc,-0.197576,-48.173208,-0.584886,3.133263,1.746748,-0.494217,-46.600426,0.000000,45.000000,-0.065583,0.117623,-0.232837,1,3.076398,1.400842,1.306321,1.190678,1.190678,0.663678,0.028842,0.485879,0.485879,0.148957,0.485879,0.216677,0.113050,inf,nan,0.000000,0.113050,0.113050,0.113050,-0.016386,-0.060638,0.113051,-0.016385,-0.060638,-0.000000,0.000000,3.187385,10,4
1780630753.178849,nmpc_dc,-0.256393,-47.859294,-0.591444,3.145025,1.752448,-0.545437,-46.285277,0.000000,45.000000,0.045946,0.068101,-0.232263,1,3.175284,1.106381,1.013222,0.902281,0.902281,0.668766,0.028936,0.490222,0.490222,0.149608,0.490222,0.223220,0.121225,inf,nan,0.000000,0.121225,0.121225,0.121225,-0.043269,-0.046100,0.121226,-0.043268,-0.046099,-0.000000,0.000000,3.200154,10,4
