time_s,controller,x,y,vx,vy,yaw,ref_x,ref_y,goal_x,goal_y,ux,uy,alpha,feasible,solve_ms,clearance_m,d_lower_min,c_body,barrier,gamma_ref,recovery_energy,recoverable_margin,h_R,dynamic_reserve,recoverability_delta,pred_min_d_lower,pred_min_c_body,pred_min_gamma,pred_max_recovery_energy,pred_max_dynamic_reserve,pred_min_delta,pred_min_h_R,pred_min_psi0,pred_min_psi1,pred_min_psi2,pred_min_psi0_constraint,pred_min_psi1_constraint,pred_min_psi2_constraint,solver_constraint_margin,max_safety_slack,speed_mps,obstacle_count,guide_points
1780630902.780815,nominal,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,0.000000,7.999991,-0.171058,1,10.496118,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,0.000000,0,2
1780630902.876966,nominal,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,0.000000,7.999992,-0.212728,1,8.546348,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,0.000000,0,2
1780630902.974880,nominal,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,0.000000,7.999992,-0.221782,1,5.263311,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,0.000000,0,2
1780630903.083780,nominal,0.000000,-49.960000,0.000000,0.799999,1.570799,0.000000,-48.360000,0.000000,45.000000,0.000000,7.999979,-0.222624,1,10.201684,inf,inf,inf,inf,inf,0.017408,inf,inf,0.041600,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,0.799999,0,2
1780630903.173963,nominal,0.000000,-49.840000,0.000000,1.599997,1.570798,0.000000,-48.240000,0.000000,45.000000,0.000000,7.750965,-0.221408,1,3.265225,inf,inf,inf,inf,inf,0.019712,inf,inf,0.074400,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,1.599997,0,2
1780630903.544794,nominal,0.000000,-49.641246,0.000000,2.375094,1.570798,-0.304189,-48.070428,0.000000,45.000000,-2.709432,4.032146,-0.219684,1,2.794203,1.391749,1.255044,1.141556,1.141556,1.237885,0.023409,1.098179,1.098179,0.109231,1.105245,1.351749,1.263749,inf,nan,0.000000,1.263749,1.263749,1.263749,0.395049,0.059938,1.263749,0.395049,0.059938,-0.000000,0.000000,2.375094,10,4
1780630903.559709,nominal,0.000000,-49.641246,0.000000,2.375094,1.570798,-0.304189,-48.070428,0.000000,45.000000,-2.913471,3.752093,-0.217845,1,2.532642,1.391749,1.255044,1.141556,1.141556,1.237885,0.023409,1.098179,1.098179,0.109231,1.105245,1.351749,1.263749,inf,nan,0.000000,1.263749,1.263749,1.263749,0.395952,0.061796,1.263749,0.395952,0.061796,-0.000000,0.000000,2.375094,10,4
1780630903.574480,nominal,-0.013547,-49.383576,-0.270943,2.778308,1.579927,-0.352773,-47.819542,0.000000,45.000000,-2.038206,1.880718,-0.216984,1,2.420643,1.454534,1.295525,1.171632,1.171632,0.620000,0.025999,0.464818,0.464818,0.129183,0.464818,0.221264,0.133264,inf,nan,0.000000,0.133264,0.133264,0.133264,-0.029284,-0.108716,0.133264,-0.029284,-0.108716,-0.000000,0.000000,2.791488,10,4
1780630903.589329,nominal,-0.014567,-49.384976,-0.291347,2.750303,1.577533,-0.352548,-47.820702,0.000000,45.000000,-1.870634,1.866251,-0.215117,1,2.446797,1.455138,1.296532,1.172682,1.172682,0.620000,0.025827,0.466252,0.466252,0.127922,0.466252,0.223744,0.135744,inf,nan,0.000000,0.135744,0.135744,0.135744,-0.029391,-0.105706,0.135744,-0.029391,-0.105706,-0.000000,0.000000,2.765692,10,4
1780630903.698031,nominal,-0.053055,-49.100614,-0.478410,2.936928,1.656504,-0.407016,-47.539435,0.000000,45.000000,-1.169978,1.009177,-0.221872,1,2.313141,1.452281,1.298444,1.178663,1.178663,0.620000,0.027282,0.454435,0.454435,0.138283,0.454435,-0.053441,-0.141441,inf,nan,0.000000,-0.141441,-0.141441,-0.141441,-0.107037,-0.121993,-0.141441,-0.107037,-0.121993,-0.000000,0.000000,2.975638,10,4
1780630903.789909,nominal,-0.106746,-48.801876,-0.595408,3.037846,1.719878,-0.464716,-47.241472,0.000000,45.000000,-0.633578,0.489748,-0.229041,1,2.002991,1.242511,0.996696,0.886147,0.886147,0.620000,0.028159,0.447536,0.447536,0.144305,0.447536,-0.102786,-0.190786,inf,nan,0.000000,-0.190786,-0.190786,-0.190786,-0.153955,-0.073452,-0.190786,-0.153955,-0.073452,-0.000000,0.000000,3.095645,10,4
1780630903.896660,nominal,-0.169455,-48.495642,-0.658766,3.086821,1.758610,-0.524141,-46.934603,0.000000,45.000000,-0.282694,0.238897,-0.233583,1,2.411445,0.931415,0.689452,0.578190,0.578190,0.620000,0.028612,0.443751,0.443751,0.147378,0.444010,-0.111323,-0.199323,inf,nan,0.000000,-0.199323,-0.199323,-0.199323,-0.193535,-0.099848,-0.199323,-0.193535,-0.099848,-0.000000,0.000000,3.156332,10,4
1780630903.990050,nominal,-0.236745,-48.185766,-0.687036,3.110710,1.777501,-0.584412,-46.623367,0.000000,45.000000,-0.068262,0.126068,-0.235279,1,2.012447,0.620839,0.384596,0.271159,0.271159,0.620000,0.028831,0.271087,0.271087,0.148870,0.442299,-0.072129,-0.160129,inf,nan,0.000000,-0.160129,-0.160129,-0.160129,-0.197864,-0.092246,-0.160129,-0.197864,-0.092246,-0.000000,0.000000,3.185677,10,4
1780630904.097541,nominal,-0.305790,-47.874064,-0.693862,3.123317,1.784181,-0.645087,-46.310045,0.000000,45.000000,0.052740,0.076047,-0.234923,1,2.619631,0.565806,0.278328,0.168398,0.168398,0.663090,0.028932,0.168398,0.168398,0.149573,0.484585,-0.060075,-0.148075,inf,nan,0.000000,-0.148075,-0.148075,-0.148075,-0.233259,-0.085442,-0.148075,-0.233259,-0.085442,-0.000000,0.000000,3.199462,10,4
1780630904.189513,nominal,-0.374912,-47.561352,-0.688588,3.130922,1.784360,-0.705953,-45.995734,0.000000,45.000000,0.111980,0.052764,-0.233347,1,2.106862,0.589085,0.340551,0.229241,0.229241,0.745120,0.028977,0.229240,0.229240,0.149893,0.566249,0.055016,-0.032984,inf,nan,0.000000,-0.032984,-0.032984,-0.032984,-0.180101,-0.092801,-0.032984,-0.180101,-0.092801,-0.000000,0.000000,3.205749,10,4
1780630904.297947,nominal,-0.443211,-47.247996,-0.677390,3.136198,1.781541,-0.766910,-45.680956,0.000000,45.000000,0.132131,0.040253,-0.231151,1,2.676063,0.560766,0.391154,0.273495,0.273495,0.757478,0.028996,0.273494,0.273494,0.150035,0.578447,0.450348,0.362348,inf,nan,0.000000,0.362348,0.362348,0.362348,0.059411,-0.050846,0.362348,0.059411,-0.050846,-0.000000,0.000000,3.208519,10,4
1780630904.389778,nominal,-0.510290,-46.934175,-0.664177,3.140224,1.777685,-0.827909,-45.365958,0.000000,45.000000,0.129141,0.031928,-0.228700,1,3.983972,0.519559,0.243085,0.127254,0.127254,0.878168,0.029004,0.127254,0.127254,0.150095,0.699070,0.479559,0.391559,inf,nan,0.000000,0.391559,0.391559,0.391559,0.158998,-0.068951,0.391559,0.158998,-0.068951,-0.000000,0.000000,3.209694,10,4
1780630904.496499,nominal,-0.576061,-46.619993,-0.651263,3.143416,1.773811,-0.888929,-45.050856,0.000000,45.000000,0.113921,0.025326,-0.226200,1,2.442646,0.533276,0.362798,0.248027,0.248027,0.999804,0.029007,0.248027,0.248027,0.150119,0.820678,0.493276,0.405276,inf,nan,0.000000,0.405276,0.405276,0.405276,0.179133,0.012434,0.405276,0.179133,0.012434,-0.000000,0.000000,3.210173,10,4
1780630904.588443,nominal,-0.640618,-46.305525,-0.639870,3.145949,1.770400,-0.949958,-44.735704,0.000000,45.000000,0.093626,0.019671,-0.223753,1,1.808801,0.576758,0.364470,0.241414,0.241414,0.668364,0.029008,0.241409,0.241409,0.150129,0.489228,0.154717,0.066717,inf,nan,0.000000,0.066717,0.066717,0.066717,-0.105677,-0.223575,0.066717,-0.105677,-0.223575,-0.000000,0.000000,3.210363,10,4
1780630904.698037,nominal,-0.704137,-45.990832,-0.630508,3.147916,1.767628,-1.010991,-44.420530,0.000000,45.000000,0.072675,0.014800,-0.221405,1,2.147525,0.570039,0.297474,0.179097,0.179097,0.822632,0.029008,0.179097,0.179097,0.150133,0.643491,0.146224,0.058224,inf,nan,0.000000,0.058224,0.058224,0.058224,-0.102565,-0.004527,0.058224,-0.102565,-0.004527,-0.000000,0.000000,3.210439,10,4
