density,controller,label,tests,Safe_%,SR_%,Cert_%,HS_cert_%,reach_time_mean_s,min_clearance_mean_m,min_clearance_std_m,min_c_body_mean,min_c_body_std,min_h_R_mean,min_h_R_std,min_delta_mean,avg_speed_mean_mps,avg_speed_std_mps,certified_speed_mean_mps,RSM_cert_time_%,mean_abs_x_m,p95_abs_x_m,path_length_m,path_efficiency,center_cert_agility,FR_%,solve_mean_ms,solve_p95_ms,solve_std_ms
d1,nominal,Nominal,1,100.0,100.0,100.0,0.0,29.795120000839233,0.512034,0.0,0.232316,0.0,0.232316,0.0,0.440855,3.166551401337793,0.0,3.166551401337793,100.0,0.0,0.0,94.25071100000001,0.9999999999999999,0.7356405553531907,100.0,2.5596197170212767,5.594363349999992,0.0
d1,nmpc_dc,NMPC-DC,1,100.0,100.0,100.0,0.0,29.795120000839233,0.512034,0.0,0.232316,0.0,0.232316,0.0,0.440855,3.166551401337793,0.0,3.166551401337793,100.0,0.0,0.0,94.25071100000001,0.9999999999999999,0.7356405553531907,100.0,2.5596197170212767,5.594363349999992,0.0
d1,dhocbf_fixed,DHOCBF,1,100.0,100.0,100.0,0.0,31.306023836135864,0.339142,0.0,0.31418,0.0,0.31418,0.0,0.460147,3.0319216210191087,0.0,3.0319216210191087,100.0,0.08234380254777071,0.22666934999999983,94.81987931855686,0.9955006887192603,0.9221943394523685,100.0,5.672299170575693,10.991077799999996,0.0
d1,proposed,RSM-NMPC,1,100.0,100.0,100.0,0.0,29.982006788253784,0.415742,0.0,0.268082,0.0,0.268082,0.0,0.440986,3.145648315614618,0.0,3.145648315614618,100.0,0.03973196677740864,0.197343,94.38270796750132,0.998305857828922,0.8300991037418666,100.0,13.480547166666668,18.1333009,0.0
d2,nominal,Nominal,1,100.0,100.0,100.0,0.0,30.21111297607422,0.502844,0.0,0.116664,0.0,0.116664,0.0,0.440855,3.151272363036304,0.0,3.151272363036304,100.0,3.034065297029703,4.0320019,95.13366927365172,0.9924160435987216,0.16608045768749363,99.78768577494692,3.596794288747346,6.5398835,0.0
d2,nmpc_dc,NMPC-DC,1,100.0,100.0,100.0,0.0,31.32432794570923,0.323233,0.0,0.111547,0.0,0.111547,0.0,0.439313,3.053771694267516,0.0,3.053771694267516,100.0,2.566991385350318,3.50225625,95.43567786601608,0.9889168030638615,0.16806771774139684,99.7867803837953,6.067830618336887,11.271858199999995,0.0
d2,dhocbf_fixed,DHOCBF,1,100.0,100.0,100.0,0.0,35.60268688201904,0.256395,0.0,0.099568,0.0,0.099568,0.0,0.437173,2.72773362464986,0.0,2.72773362464986,100.0,1.9420148459383755,2.8163942,97.02938541280572,0.9713772678821302,0.15285573718167234,99.57356076759062,7.428193036247334,15.384353599999994,0.0
d2,proposed,RSM-NMPC,1,100.0,100.0,100.0,0.0,33.93562412261963,0.263132,0.0,0.116761,0.0,0.116761,0.0,0.432627,2.899124876470588,0.0,2.899124876470588,100.0,0.15145012647058823,0.6224905000000002,95.98794131935111,0.9819778125632744,0.3191694200865231,100.0,18.68617179175705,44.955,0.0
d3,nominal,Nominal,1,100.0,100.0,100.0,0.0,30.32035207748413,0.502893,0.0,0.104731,0.0,0.104731,0.0,0.440855,3.1500220690789478,0.0,3.1500220690789478,100.0,3.0241168881578946,4.03200185,95.1344529845075,0.9923838857715488,0.14930212737891546,100.0,3.6424222707889133,7.1716244,0.0
d3,nmpc_dc,NMPC-DC,1,100.0,100.0,100.0,0.0,31.331720113754272,0.319255,0.0,0.104719,0.0,0.104719,0.0,0.440341,3.0516077961783443,0.0,3.0516077961783443,100.0,2.4989615414012736,3.43089055,95.16805833493657,0.9918407605142615,0.15981385041743235,99.57446808510639,6.6465638085106375,13.955229600000001,0.0
