density,controller,label,csv,success,safe,certificate_valid,high_speed_cert_%,collision,final_dist_m,reach_time_s,min_clearance_m,min_c_body,min_barrier,min_h_R,min_delta,avg_speed_mps,certified_speed_mps,rsm_cert_time_%,mean_abs_x_m,p95_abs_x_m,path_length_m,path_efficiency,center_cert_agility,max_speed_mps,feasibility_rate,solve_mean_ms,solve_p95_ms,duration_s
d1,nominal,Nominal,sim_validation/results/super_density_ros_rsm_compare/super_density_d1_nominal.csv,1.0,1.0,1.0,0.0,0.0,0.0,29.795120000839233,0.512034,0.232316,0.232316,0.232316,0.440855,3.166551401337793,3.166551401337793,100.0,0.0,0.0,94.25071100000001,0.9999999999999999,0.7356405553531907,3.210508,1.0,2.5596197170212767,5.594363349999992,46.908111810684204
d1,nmpc_dc,NMPC-DC,sim_validation/results/super_density_ros_rsm_compare/super_density_d1_nmpc_dc.csv,1.0,1.0,1.0,0.0,0.0,0.0,29.795120000839233,0.512034,0.232316,0.232316,0.232316,0.440855,3.166551401337793,3.166551401337793,100.0,0.0,0.0,94.25071100000001,0.9999999999999999,0.7356405553531907,3.210508,1.0,2.5596197170212767,5.594363349999992,46.908111810684204
d1,dhocbf_fixed,DHOCBF,sim_validation/results/super_density_ros_rsm_compare/super_density_d1_dhocbf_fixed.csv,1.0,1.0,1.0,0.0,0.0,1e-06,31.306023836135864,0.339142,0.31418,0.31418,0.31418,0.460147,3.0319216210191087,3.0319216210191087,100.0,0.08234380254777071,0.22666934999999983,94.81987931855686,0.9955006887192603,0.9221943394523685,3.976437,1.0,5.672299170575693,10.991077799999996,46.79828882217407
d1,proposed,RSM-NMPC,sim_validation/results/super_density_ros_rsm_compare/super_density_d1_proposed.csv,1.0,1.0,1.0,0.0,0.0,0.026064694780488215,29.982006788253784,0.415742,0.268082,0.268082,0.268082,0.440986,3.145648315614618,3.145648315614618,100.0,0.03973196677740864,0.197343,94.38270796750132,0.998305857828922,0.8300991037418666,3.397729,1.0,13.480547166666668,18.1333009,46.102054834365845
d2,nominal,Nominal,sim_validation/results/super_density_ros_rsm_compare/super_density_d2_nominal.csv,1.0,1.0,1.0,0.0,0.0,0.0,30.21111297607422,0.502844,0.116664,0.116664,0.116664,0.440855,3.151272363036304,3.151272363036304,100.0,3.034065297029703,4.0320019,95.13366927365172,0.9924160435987216,0.16608045768749363,3.210511,0.9978768577494692,3.596794288747346,6.5398835,47.00585317611694
d2,nmpc_dc,NMPC-DC,sim_validation/results/super_density_ros_rsm_compare/super_density_d2_nmpc_dc.csv,1.0,1.0,1.0,0.0,0.0,0.0,31.32432794570923,0.323233,0.111547,0.111547,0.111547,0.439313,3.053771694267516,3.053771694267516,100.0,2.566991385350318,3.50225625,95.43567786601608,0.9889168030638615,0.16806771774139684,3.384976,0.997867803837953,6.067830618336887,11.271858199999995,46.803661823272705
d2,dhocbf_fixed,DHOCBF,sim_validation/results/super_density_ros_rsm_compare/super_density_d2_dhocbf_fixed.csv,1.0,1.0,1.0,0.0,0.0,6.082762529373289e-06,35.60268688201904,0.256395,0.099568,0.099568,0.099568,0.437173,2.72773362464986,2.72773362464986,100.0,1.9420148459383755,2.8163942,97.02938541280572,0.9713772678821302,0.15285573718167234,3.431005,0.9957356076759062,7.428193036247334,15.384353599999994,46.7891149520874
d2,proposed,RSM-NMPC,sim_validation/results/super_density_ros_rsm_compare/super_density_d2_proposed.csv,1.0,1.0,1.0,0.0,0.0,0.3942488860732529,33.93562412261963,0.263132,0.116761,0.116761,0.116761,0.432627,2.899124876470588,2.899124876470588,100.0,0.15145012647058823,0.6224905000000002,95.98794131935111,0.9819778125632744,0.3191694200865231,3.646276,1.0,18.68617179175705,44.955,46.00442695617676
d3,nominal,Nominal,sim_validation/results/super_density_ros_rsm_compare/super_density_d3_nominal.csv,1.0,1.0,1.0,0.0,0.0,0.0,30.32035207748413,0.502893,0.104731,0.104731,0.104731,0.440855,3.1500220690789478,3.1500220690789478,100.0,3.0241168881578946,4.03200185,95.1344529845075,0.9923838857715488,0.14930212737891546,3.210511,1.0,3.6424222707889133,7.1716244,46.78938007354736
d3,nmpc_dc,NMPC-DC,sim_validation/results/super_density_ros_rsm_compare/super_density_d3_nmpc_dc.csv,1.0,1.0,1.0,0.0,0.0,1e-06,31.331720113754272,0.319255,0.104719,0.104719,0.104719,0.440341,3.0516077961783443,3.0516077961783443,100.0,2.4989615414012736,3.43089055,95.16805833493657,0.9918407605142615,0.15981385041743235,3.282469,0.9957446808510638,6.6465638085106375,13.955229600000001,46.92051100730896
