density,controller,SR_%,mean_abs_x_m,min_h_R_m,avg_speed_mps,J_ct,FR_%,solve_mean_ms,solve_p95_ms
D1,Nominal NMPC,100.0,0.02,0.232,3.17,0.736,100.0,2.6,5.6
D1,NMPC-DC,100.0,0.02,0.232,3.17,0.736,100.0,2.6,5.6
D1,NMPC-DHOCBF-fixed,100.0,0.08,0.314,3.03,0.830,100.0,5.7,11.0
D1,RSM-NMPC,100.0,0.04,0.268,3.25,0.922,100.0,6.9,11.7
D2,Nominal NMPC,86.7,3.03,0.117,3.15,0.166,98.9,3.6,6.5
D2,NMPC-DC,91.7,2.57,0.112,3.05,0.168,99.1,6.1,11.3
D2,NMPC-DHOCBF-fixed,93.3,1.94,0.100,2.73,0.153,98.5,7.4,15.4
D2,RSM-NMPC,100.0,0.15,0.117,2.90,0.319,100.0,9.8,20.6
D3,Nominal NMPC,73.3,3.02,0.105,3.15,0.149,97.6,3.6,7.2
D3,NMPC-DC,86.7,2.50,0.105,3.05,0.160,98.4,6.6,14.0
D3,NMPC-DHOCBF-fixed,86.7,1.89,0.123,2.83,0.198,97.9,7.9,16.2
D3,RSM-NMPC,100.0,0.09,0.124,3.08,0.367,99.2,8.7,18.4
D4,Nominal NMPC,58.3,3.03,0.108,3.16,0.155,95.8,4.8,8.2
D4,NMPC-DC,68.3,2.55,0.113,3.01,0.169,97.2,9.0,16.9
D4,NMPC-DHOCBF-fixed,76.7,1.85,0.105,2.58,0.156,96.1,11.6,29.1
D4,RSM-NMPC,98.3,0.22,0.116,3.00,0.319,99.3,13.1,36.8
Aggregate,Nominal NMPC,79.6,2.28,0.141,3.16,0.302,98.1,3.7,6.9
Aggregate,NMPC-DC,86.7,1.91,0.141,3.07,0.308,98.7,6.1,12.0
Aggregate,NMPC-DHOCBF-fixed,89.2,1.44,0.161,2.79,0.334,98.1,8.2,17.9
Aggregate,RSM-NMPC,99.6,0.13,0.156,3.06,0.482,99.6,9.6,21.9
