method,label,target_speed_mps,trials,geometric_success_%,command_feasible_%,certificate_success_%,min_h_R_mean,min_h_R_std
nominal,Nominal,2.5,60,3.3333333333333335,100.0,3.3333333333333335,-0.11674966132523465,0.0782506188752027
nominal,Nominal,3.5,60,0.0,100.0,0.0,-0.3350602432316895,0.04788436371059652
nominal,Nominal,4.5,60,100.0,6.666666666666667,6.666666666666667,0.0502085000294545,0.005163051655332788
nominal,Nominal,5.5,60,100.0,0.0,0.0,-0.04551370665666065,0.0122211388068567
nmpc_dc,NMPC-DC,2.5,60,0.0,100.0,0.0,-0.2888506839481805,0.06942078066054361
nmpc_dc,NMPC-DC,3.5,60,0.0,100.0,0.0,-0.38568031375518047,0.04790114583079036
nmpc_dc,NMPC-DC,4.5,60,50.0,33.333333333333336,11.666666666666666,-0.01742609652142643,0.06362754040432135
nmpc_dc,NMPC-DC,5.5,60,41.666666666666664,0.0,0.0,-0.0942298191253404,0.034246901523790715
dhocbf_fixed,DHOCBF,2.5,60,0.0,100.0,0.0,-0.21393576256018,0.011168742542939609
dhocbf_fixed,DHOCBF,3.5,60,0.0,100.0,0.0,-0.43602349555438324,0.007747304771044717
dhocbf_fixed,DHOCBF,4.5,60,0.0,63.333333333333336,0.0,-0.18795332254076855,0.05058629493629002
dhocbf_fixed,DHOCBF,5.5,60,0.0,0.0,0.0,-0.19296397922852476,0.04163251281136999
proposed,RSM-NMPC,2.5,60,100.0,100.0,100.0,0.18930765841164202,0.0016459407028657617
proposed,RSM-NMPC,3.5,60,100.0,100.0,100.0,0.16762570018328432,0.014612346318068445
proposed,RSM-NMPC,4.5,60,100.0,100.0,100.0,0.07113230099207435,0.0071724861719172734
proposed,RSM-NMPC,5.5,60,100.0,96.66666666666667,96.66666666666667,0.08127578652051382,0.005878324551459561
