trial,method,label,goal_reached,collision_free,success,dynamic_collisions,min_c_static,min_c_dynamic,min_h_R,avg_speed_mps
1,nominal,Nominal,1,0,0,3,0.0636106653345223,-0.4171930088938524,-0.4171930090825805,3.3838338898507487
1,nmpc_dc,NMPC-DC,1,0,0,1,0.1325167770331426,-0.1238727001116538,-0.1238790418477238,3.182599025224348
1,dhocbf_fixed,DHOCBF,1,0,0,1,0.20209472214387,-0.1803035081672112,-0.1955430297656162,2.5662873743163765
1,ego_style,SUPER-style,1,1,1,0,0.0686050843622357,0.10642857142857143,0.075,3.8077813796466016
1,super_style,EGO-style,1,1,1,0,0.1773492025004093,0.055,0.035,3.421447639213522
1,proposed,RSM-NMPC,1,1,1,0,0.2058825852982753,0.13,0.1259958119626884,3.1373005049244296
2,nominal,Nominal,1,0,0,2,0.0656788572752525,-0.2377118936781005,-0.2377125630651581,3.124098433900077
2,nmpc_dc,NMPC-DC,1,0,0,1,0.127402616432545,-0.26266419420756,-0.2626642372633037,2.937290408706897
2,dhocbf_fixed,DHOCBF,1,1,1,0,0.2028055854428797,0.1656100814644473,0.1476584099778496,2.367002479908913
2,ego_style,SUPER-style,1,1,1,0,0.0740529095936678,0.055,0.035,3.5150202319283577
2,super_style,EGO-style,1,0,0,1,0.177985741575954,-0.3180054683745109,-0.3180054711023684,3.158038594361276
2,proposed,RSM-NMPC,1,1,1,0,0.1994347746496461,0.416290439381034,0.1994231991371616,2.9096649391651845
3,nominal,Nominal,1,0,0,3,0.0633420769711189,-0.2765556390663207,-0.2765556724512225,3.475411124760029
3,nmpc_dc,NMPC-DC,1,0,0,3,0.1325312526379351,-0.4869906314486991,-0.4869906314620327,3.267666385113769
3,dhocbf_fixed,DHOCBF,1,0,0,1,0.2007310988065249,-0.2256904608837802,-0.2409299579398114,2.633373838725795
3,ego_style,SUPER-style,1,1,1,0,0.0690853709199221,0.08071428571428571,0.055,3.908695645916771
3,super_style,EGO-style,1,0,0,3,0.176034068332666,-0.5023481331453858,-0.5023481331689654,3.514697392354585
3,proposed,RSM-NMPC,1,1,1,0,0.2076870040601374,0.135,0.09722222222222221,3.2089638661500777
4,nominal,Nominal,1,0,0,3,0.0644442338727752,-0.4718836641044604,-0.4718836642688913,3.386951187952438
4,nmpc_dc,NMPC-DC,1,0,0,2,0.1282388284467864,-0.4507647946697991,-0.4507647947367525,3.185127140150216
4,dhocbf_fixed,DHOCBF,1,1,1,0,0.2023990428848173,0.13375,0.09625,2.568496099707408
4,ego_style,SUPER-style,1,0,0,3,0.0738361953953225,-0.4213495691522484,-0.4213495928797274,3.8099292481735
4,super_style,EGO-style,1,0,0,2,0.1777361545236903,-0.4894044625537251,-0.489404462575478,3.425743114969254
4,proposed,RSM-NMPC,1,1,1,0,0.2042851256738986,0.2206033984579552,0.2042679632723034,3.142271334101542
5,nominal,Nominal,1,0,0,3,0.0619468643529314,-0.4795944317722818,-0.4795944318021968,3.5298734643741883
5,nmpc_dc,NMPC-DC,1,0,0,3,0.131463007185114,-0.3817297349945778,-0.3817297355645576,3.324928583858469
5,dhocbf_fixed,DHOCBF,1,0,0,1,0.2039737046750342,-0.1038907459171718,-0.1191307554932091,2.677741512890999
5,ego_style,SUPER-style,1,0,0,3,0.0701904015463475,-0.4889179519782178,-0.4889179623481943,3.9724796698838585
5,super_style,EGO-style,1,0,0,3,0.1790160167028563,-0.4220561302970362,-0.4220561319451651,3.569572713412573
5,proposed,RSM-NMPC,1,1,1,0,0.2078740299603841,0.2085565614259962,0.1892448344966372,3.268713569023358
6,nominal,Nominal,1,0,0,3,0.0635162438270939,-0.4249433977586627,-0.4249433985599378,3.513397510388247
6,nmpc_dc,NMPC-DC,1,0,0,3,0.1327511499213437,-0.3585950039740312,-0.3585950054574678,3.304387528303856
6,dhocbf_fixed,DHOCBF,1,0,0,1,0.2011960722332438,-0.1182844169546033,-0.1335241666169154,2.668080197107308
6,ego_style,SUPER-style,1,0,0,3,0.0685582035797787,-0.4751620213739354,-0.4751620264826707,3.9540813759114415
6,super_style,EGO-style,1,0,0,3,0.176136769133661,-0.3671711579197316,-0.3671711604211649,3.5580139591385147
6,proposed,RSM-NMPC,1,1,1,0,0.2031679867915588,0.1947092668019188,0.1897574354102265,3.26070108030044
7,nominal,Nominal,1,0,0,3,0.0658044151349703,-0.4270784198779124,-0.4270784201948358,3.4883924588712705
7,nmpc_dc,NMPC-DC,1,0,0,3,0.1275299511347321,-0.1687585764287877,-0.1687602152755306,3.2791250177107414
7,dhocbf_fixed,DHOCBF,1,1,1,0,0.2031317245017863,0.2656067166978882,0.1853928473324425,2.643561357778055
7,ego_style,SUPER-style,1,0,0,3,0.074498493260224,-0.4965324821521345,-0.4965324891414644,3.920575471506913
7,super_style,EGO-style,1,0,0,3,0.1784763424633023,-0.4833237538813013,-0.483323753920851,3.5241174239740736
7,proposed,RSM-NMPC,1,1,1,0,0.1983496147185873,0.2446470031478329,0.1983284298848575,3.260115627868344
8,nominal,Nominal,1,0,0,3,0.0639330250910405,-0.5016818161981697,-0.5016818162804745,3.485041893778748
8,nmpc_dc,NMPC-DC,1,0,0,3,0.1290401507640435,-0.4275810381786523,-0.4275810383677048,3.279082901690462
8,dhocbf_fixed,DHOCBF,1,0,0,1,0.2046968419470996,-0.0216798930356943,-0.036928265557043,2.6435840296978816
8,ego_style,SUPER-style,1,1,1,0,0.0726445444259728,0.09357142857142857,0.065,3.918283229434858
8,super_style,EGO-style,1,0,0,3,0.1798578081629636,-0.4813834439854645,-0.4813834440311355,3.524055548565309
8,proposed,RSM-NMPC,1,1,1,0,0.2049166318145073,0.2432937078170571,0.2011489825071729,3.232952917417077
9,nominal,Nominal,1,0,0,2,0.0623068443788842,-0.4533531415140957,-0.4533531415655269,3.3880531747209663
9,nmpc_dc,NMPC-DC,1,0,0,2,0.1314977326725774,-0.3692008265132685,-0.3692008272082477,3.187982117186784
9,dhocbf_fixed,DHOCBF,1,0,0,1,0.2035394361536122,-0.1327583143778427,-0.1479979615346806,2.5714117025618592
9,ego_style,SUPER-style,1,0,0,2,0.0702718226834201,-0.4753239896786815,-0.4753239996945447,3.814116773413537
