group,method,label,success,min_d_lower,min_c_body,min_delta,min_h_R,avg_speed_mps,max_speed_mps,FR_%,recursion_violations,min_psi1,min_psi2,solve_mean_ms,solve_p95_ms
controller,nominal,Nominal,1,0.19102580731499913,0.06302580731499913,0.18911823129389138,0.06268171841360935,3.4011675556075263,3.858740150425398,100.0,0,0.026785973703247402,0.018430324252230026,3.2,5.6000000000000005
controller,nmpc_dc,NMPC-DC,1,0.25776880390138357,0.12976880390138354,0.2395292766730421,0.12916217864851212,3.1975289578778208,3.647709887111975,100.0,0,0.05718080806051939,0.03982435534349066,6.0,10.5
controller,dhocbf_fixed,DHOCBF,1,0.33119484932137083,0.20319484932137083,0.21319484932137084,0.18795535916654862,2.576779186367246,2.62,100.0,0,0.08448363756938165,0.05912172838594572,8.4,14.700000000000001
controller,proposed,RSM-NMPC,1,0.31062037510784746,0.18262037510784745,0.29979123126835927,0.18258746752060087,3.3141520702059952,3.5585035748874736,100.0,0,0.08169973473755286,0.05708731803759124,19.6,49.98
sota,ego_style,EGO-style,1,0.19994896332702078,0.07194896332702078,0.014620911135656611,0.01461434200688992,3.8254991850907256,4.401447891173063,100.0,0,0.006377959434964173,0.004435064560745884,4.5,7.875
sota,super_style,SUPER-style,1,0.30648688709540906,0.17848688709540908,0.18909702002241535,0.1635251958630329,3.4374505607414254,3.8070208264675913,100.0,0,0.07340426649874467,0.051358340906982304,5.8,10.15
sota,proposed,RSM-NMPC,1,0.31062037510784746,0.18262037510784745,0.29979123126835927,0.18258746752060087,3.3141520702059952,3.5585035748874736,100.0,0,0.08169973473755286,0.05708731803759124,19.6,49.98
ablation,full,Full RSM-NMPC,1,0.31062037510784746,0.18262037510784745,0.29979123126835927,0.18258746752060087,3.3141520702059952,3.5585035748874736,100.0,0,0.08169973473755286,0.05708731803759124,19.6,49.98
ablation,no_perception_lcb,- perception LCB,1,0.16584024662616514,-0.052017018323794045,0.1150584314373238,-0.052099371578859216,3.5201388827506697,3.6998862102595154,94.74940334128878,66,-0.024049538941674168,-0.016911928940473563,17.2,30.099999999999998
ablation,fixed_sphere,- embodiment,1,0.14805783065040204,0.020057830650402036,0.25713207858572734,0.020050713984991444,2.4870473654243823,2.9783325482402305,100.0,0,0.007445910482149456,0.0048313993865470245,15.8,27.650000000000002
ablation,no_recoverability,- recoverability,1,0.3278307318048198,0.1998307318048198,-0.02868485859759845,-0.028685885763977417,3.5318484550320135,4.155843161352756,93.3969769291965,83,-0.01307273775664093,-0.009186959505603907,12.5,21.875
ablation,no_tightening,- tightening,1,0.3126982227590077,0.18469822275900774,0.23041265494109944,0.18065550717820236,3.629769741659584,3.7997595656579,97.77247414478919,28,0.011884830426534987,-0.029228970544712976,17.8,38.27
ablation,instant_rsm,- recursion,1,0.310833969260061,0.18283396926006099,0.2176331708828211,0.17800211500626612,3.7200616728938702,3.879766792595924,94.98806682577565,63,-0.02907320886114166,-0.09470906526458556,15.2,28.88
