suite,scenario,controller,controller_label,sensitivity_group,trials,SR_%,collision_%,FR_%,min_clearance_mean_m,min_clearance_std_m,avg_speed_mean_mps,avg_speed_std_mps,min_active_speed_mean_mps,compute_mean_ms,compute_std_ms
sensitivity,dense,N12,N=12,horizon,1,100.0,0.0,100.0,0.291623642849699,0.0,2.0368604117745828,0.0,0.6299999999999999,27.626448631544438,0.0
sensitivity,dense,N4,N=4,horizon,1,100.0,0.0,100.0,0.23487689510548448,0.0,2.235928898483598,0.0,0.6300000000000001,5.770187542878245,0.0
sensitivity,dense,N8,N=8,horizon,1,100.0,0.0,100.0,0.2917345803372068,0.0,2.0390711907552315,0.0,0.6266845733175382,13.68582444737704,0.0
sensitivity,dense,ell02,ell=0.2m,gp_length,1,100.0,0.0,100.0,0.28050925908775015,0.0,2.03532985855363,0.0,0.63,12.908667315837432,0.0
sensitivity,dense,ell04,ell=0.4m,gp_length,1,100.0,0.0,100.0,0.2921608112016082,0.0,2.0388404573427663,0.0,0.63,13.037459763154402,0.0
sensitivity,dense,ell08,ell=0.8m,gp_length,1,100.0,0.0,100.0,0.2951685173895693,0.0,2.0518575371452092,0.0,0.6294911398245546,13.568484605277837,0.0
sensitivity,dense,gamma01,gamma1=0.1,gamma1,1,0.0,100.0,80.76923076923077,-0.05689027026108756,0.0,1.479444699958587,0.0,0.63,26.663701230798043,0.0
sensitivity,dense,gamma03,gamma1=0.3,gamma1,1,100.0,0.0,100.0,0.2924129963725255,0.0,2.0396475919348913,0.0,0.6279359738168978,13.802816894763295,0.0
sensitivity,dense,gamma05,gamma1=0.5,gamma1,1,100.0,0.0,100.0,0.2627269820430186,0.0,2.096774142424055,0.0,0.63,12.982727594639123,0.0
sensitivity,dense,lambda10,lambda=10,lambda,1,100.0,0.0,100.0,0.3477161937958467,0.0,1.932482342121681,0.0,0.63,13.860109097549866,0.0
sensitivity,dense,lambda20,lambda=20,lambda,1,100.0,0.0,100.0,0.30326249259815086,0.0,2.1070129207423984,0.0,0.6294832628601325,14.02037572970093,0.0
sensitivity,dense,lambda30,lambda=30,lambda,1,100.0,0.0,100.0,0.2928277052499898,0.0,2.039962928180784,0.0,0.63,13.461779000037591,0.0
