controller,controller_label,scenario,seed,success,collision,reached,steps,duration_s,min_clearance_m,min_barrier,avg_speed_mps,min_active_speed_mps,feasibility_rate,compute_ms,compute_ms_max,suite,sensitivity_group
N4,N=4,dense,1182,1.0,0.0,1.0,35.0,5.25,0.23487689510548448,0.05595152338762851,2.235928898483598,0.6300000000000001,1.0,5.770187542878245,13.266767999994045,sensitivity,horizon
N8,N=8,dense,1190,1.0,0.0,1.0,38.0,5.7,0.2917345803372068,0.10809363485256042,2.0390711907552315,0.6266845733175382,1.0,13.68582444737704,25.037812999926246,sensitivity,horizon
N12,N=12,dense,1326,1.0,0.0,1.0,38.0,5.7,0.291623642849699,0.10834580098322671,2.0368604117745828,0.6299999999999999,1.0,27.626448631544438,41.63419599990448,sensitivity,horizon
lambda10,lambda=10,dense,1836,1.0,0.0,1.0,41.0,6.1499999999999995,0.3477161937958467,-0.02945908748176542,1.932482342121681,0.63,1.0,13.860109097549866,19.50689200020861,sensitivity,lambda
lambda20,lambda=20,dense,1843,1.0,0.0,1.0,37.0,5.55,0.30326249259815086,0.07872557124116235,2.1070129207423984,0.6294832628601325,1.0,14.02037572970093,35.581280999849696,sensitivity,lambda
lambda30,lambda=30,dense,1850,1.0,0.0,1.0,38.0,5.7,0.2928277052499898,0.1091013723089971,2.039962928180784,0.63,1.0,13.461779000037591,26.68997799992212,sensitivity,lambda
gamma01,gamma1=0.1,dense,1182,0.0,1.0,0.0,26.0,3.9,-0.05689027026108756,-0.23576802190525611,1.479444699958587,0.63,0.8076923076923077,26.663701230798043,73.58105399998749,sensitivity,gamma1
gamma03,gamma1=0.3,dense,1196,1.0,0.0,1.0,38.0,5.7,0.2924129963725255,0.10902480325742807,2.0396475919348913,0.6279359738168978,1.0,13.802816894763295,29.183137000018178,sensitivity,gamma1
gamma05,gamma1=0.5,dense,1210,1.0,0.0,1.0,37.0,5.55,0.2627269820430186,0.07953805443322542,2.096774142424055,0.63,1.0,12.982727594639123,23.253667000062705,sensitivity,gamma1
ell02,ell=0.2m,dense,1086,1.0,0.0,1.0,38.0,5.7,0.28050925908775015,0.11720195263441949,2.03532985855363,0.63,1.0,12.908667315837432,23.39653899980476,sensitivity,gp_length
ell04,ell=0.4m,dense,1096,1.0,0.0,1.0,38.0,5.7,0.2921608112016082,0.10877332122603713,2.0388404573427663,0.63,1.0,13.037459763154402,24.04956200007291,sensitivity,gp_length
ell08,ell=0.8m,dense,1116,1.0,0.0,1.0,38.0,5.7,0.2951685173895693,0.0862277594233364,2.0518575371452092,0.6294911398245546,1.0,13.568484605277837,21.66245299986258,sensitivity,gp_length
